date,Podcast,Radio
2019-06-30,11,82
2019-07-07,12,82
2019-07-14,12,81
2019-07-21,12,83
2019-07-28,12,81
2019-08-04,12,82
2019-08-11,12,83
2019-08-18,13,84
2019-08-25,14,86
2019-09-01,12,85
2019-09-08,13,86
2019-09-15,13,87
2019-09-22,13,90
2019-09-29,13,87
2019-10-06,13,90
2019-10-13,13,89
2019-10-20,13,93
2019-10-27,13,88
2019-11-03,13,92
2019-11-10,13,90
2019-11-17,13,91
2019-11-24,11,88
2019-12-01,12,91
2019-12-08,12,89
2019-12-15,12,90
2019-12-22,10,80
2019-12-29,11,81
2020-01-05,13,84
2020-01-12,14,84
2020-01-19,14,88
2020-01-26,13,87
2020-02-02,13,87
2020-02-09,13,91
2020-02-16,14,90
2020-02-23,13,85
2020-03-01,13,89
2020-03-08,13,92
2020-03-15,14,100
2020-03-22,14,98
2020-03-29,15,92
2020-04-05,14,91
2020-04-12,14,88
2020-04-19,15,90
2020-04-26,15,89
2020-05-03,14,87
2020-05-10,14,87
2020-05-17,16,87
2020-05-24,14,85
2020-05-31,14,86
2020-06-07,14,85
2020-06-14,14,88
2020-06-21,12,76
