date,TaxFix,TurboTax
2019-06-30,0,4
2019-07-07,0,4
2019-07-14,0,5
2019-07-21,0,5
2019-07-28,0,5
2019-08-04,0,4
2019-08-11,0,4
2019-08-18,0,4
2019-08-25,0,3
2019-09-01,0,3
2019-09-08,0,4
2019-09-15,0,4
2019-09-22,0,4
2019-09-29,0,5
2019-10-06,0,5
2019-10-13,0,7
2019-10-20,0,4
2019-10-27,0,4
2019-11-03,0,4
2019-11-10,0,5
2019-11-17,0,4
2019-11-24,0,4
2019-12-01,0,5
2019-12-08,0,6
2019-12-15,0,6
2019-12-22,0,7
2019-12-29,0,13
2020-01-05,0,19
2020-01-12,0,34
2020-01-19,0,63
2020-01-26,0,100
2020-02-02,0,100
2020-02-09,0,80
2020-02-16,0,79
2020-02-23,0,65
2020-03-01,0,50
2020-03-08,0,40
2020-03-15,0,38
2020-03-22,0,37
2020-03-29,0,38
2020-04-05,0,52
2020-04-12,0,84
2020-04-19,0,32
2020-04-26,0,24
2020-05-03,0,17
2020-05-10,0,16
2020-05-17,0,14
2020-05-24,0,13
2020-05-31,0,12
2020-06-07,0,11
2020-06-14,0,11
2020-06-21,0,11
